,localisation,prix_annonce,date_pub,m2,pieces,chambres,lien,text_annonce,floatm2,eta,Loyer estimé,Prix/m2
23,1,550000,2018-01-17 00:00:00,43,3.0,1.0,http://www.explorimmo.com/annonce-14898605.html,APPARTEMENT 1 CHAMBRE - RUE DES PETITS CHAMPS - PARIS 1 Situé en face de la Bibliothèque Nationale de France et à proximité du Palais...,43.0,1.0,1395.0,12790.697674418605
24,1,906000,2018-01-17 00:00:00,60,3.0,1.0,http://www.explorimmo.com/annonce-14898487.html,"A vendre, très bel appartement de 60m² situé au premier étage avec ascenseur d'un bel immeuble du XIXème siècle. Il se compose d'une...",60.0,1.0,2590.0,15100.0
26,1,1365000,2018-01-16 00:00:00,78,4.0,2.0,http://www.explorimmo.com/annonce-14888071.html,"Paris Seine vous propose dans un bel immeuble Haussmannien de la rue Cambon, au 1er étage avec ascenseur, un appartement 4 pièces sur...",78.0,1.0,3500.0,17500.0
27,1,1280000,2018-01-16 00:00:00,69,2.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/14976687/,"Palais Royal - Au 5e et dernier étage avec ascenseur (jusqu'au 4e) d'un bel immeuble 18e, un superbe appartement de 69 m² (67 LC) offrant...",69.0,4.0,3000.0,18550.72463768116
28,1,2415000,2018-01-15 00:00:00,166,5.0,2.0,http://www.explorimmo.com/annonce-14852419.html,"Rue Royale - Place VendômeSitué dans le premier arrondissement de Paris, entre la Rue Royale et la Place Vendôme, cet appartement occupe...",166.0,3.0,4600.0,14548.192771084337
29,1,1280000,2018-01-15 00:00:00,69,3.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/14750281/,"Palais Royal - Au 5e et dernier étage avec ascenseur (jusqu'au 4e) d'un bel immeuble 18e, un superbe appartement de 69m2 (67 LC) offrant...",69.0,4.0,3000.0,18550.72463768116
31,1,3250000,2018-01-12 00:00:00,226,5.0,3.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/14825495/,PARIS 1er PALAIS ROYAL Appartement de grand standing au coeur du quartier prestigieux Louvre-Palais Royal. Dans un immeuble Haussmannien...,226.0,4.0,9300.0,14380.530973451327
33,1,2150000,2018-01-12 00:00:00,"111,44",4.0,2.0,http://www.explorimmo.com/annonce-14819083.html,"Au sein d'un quartier chargé d'histoire et d'architecture, à deux pas du Palais Royal dans un immeuble construit en 1770, cet appartement...",111.44,3.0,3430.0,19292.89303661163
34,1,305000,2018-01-12 00:00:00,"30,03",2.0,1.0,http://www.explorimmo.com/annonce-14503321.html,TRUANDERIE / RUE SAINT DENIS. ETIENNE MARCEL BEL IMM. 1650 BEAU 2P 30m². GRAND SEJOUR AVEC DE BELLES POUTRES AVEC CUISINE U.S. AVEC...,30.03,1.0,1300.0,10156.510156510156
36,1,413000,2018-01-11 00:00:00,30,2.0,1.0,http://www.explorimmo.com/annonce-14810415.html,"PARIS 1 - ST HONORE Idéalement situé au coeur de la Rue St Honoré, au 3ème étage avec ascenseur d'une copropriété bien tenue un très...",30.0,3.0,1300.0,13766.666666666666
37,1,624000,2018-01-10 00:00:00,57,2.0,1.0,http://www.explorimmo.com/annonce-14794713.html,"1er - Les Halles / Etienne Marcel - Dans une rue piétonne, au 1er étage d'un immeuble ancien, bien entretenu, avec ascenseur....",57.0,1.0,1850.0,10947.368421052632
39,1,710000,2018-01-10 00:00:00,56,3.0,2.0,http://www.explorimmo.com/annonce-13513609.html,"APPARTEMENT 2 CHAMBRES - LES HALLES - PARIS 1 Situé à proximité immédiate des Halles, appartement calme avec une belle hauteur sous...",56.0,3.0,2500.0,12678.57142857143
41,1,349800,2018-01-08 00:00:00,30,2.0,1.0,http://www.explorimmo.com/annonce-13768313.html,"Très bel appartement sur cour, de 30m², 2 pièces, situé dans le premier arrondissement, à proximité de la Rue du Louvre, de Rivoli...",30.0,1.0,1300.0,11660.0
42,1,710000,2018-01-06 00:00:00,"54,82",3.0,2.0,http://www.explorimmo.com/annonce-13863655.html,Au coeur du quartier des Halles. 1er arrondissement. Ligne directe 01 53 00 98 98. A proximité immédiate de la Canopée. Au 3ème étage...,54.82,3.0,2500.0,12951.477562933236
44,1,530000,2018-01-05 00:00:00,39,2.0,1.0,http://www.explorimmo.com/annonce-14742085.html,"EXCLUSIVITE A PALAIS ROYAL - 2 PCES LUMINEUX CALME. À proximité immédiate du Palais-Royal et du Musée du Louvre, au sein d'un...",39.0,4.0,1650.0,13589.74358974359
46,1,1050000,2018-01-04 00:00:00,82,4.0,3.0,http://www.explorimmo.com/annonce-14541253.html,"Les Halles - Châtelet, emplacement exceptionnel sur la place Joachim du Bellay devant la Fontaine des Innocents / rue de la Ferronnerie,...",82.0,1.0,2472.0,12804.878048780487
48,1,455000,2017-12-30 00:00:00,"38,25",2.0,1.0,http://www.explorimmo.com/annonce-14690775.html,"Au 4ème étage avec ascenseur d'un bel immeuble XVIIIème rénové, un appartement de 2 pièces de 38,28 m² Loi Carrez. Il se compose d'une...",38.25,4.0,1650.0,11895.424836601307
51,1,750000,2017-12-21 00:00:00,"63,45",3.0,2.0,http://www.explorimmo.com/annonce-13851889.html,"Rare. Musée du Louvre/ Palais royal. Au dernier étage d'une copropriété récemment ravalée, grand 2/3 pièces traversant de 63,5m² (68m²...",63.45,4.0,2350.0,11820.33096926714
52,1,740000,2017-12-20 00:00:00,40,2.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/14606561/,"Vue imprenable sur les jardins du Palais-Royal et les toits de Paris. Au 6e étage sans ascenseur, un appartement de deux pièces en...",40.0,6.0,1550.0,18500.0
53,1,326000,2017-12-17 00:00:00,"28,3",1.0,0.0,http://www.explorimmo.com/annonce-14534997.html,"Exclusivité - En plein cœur de Paris 1er, à deux pas du Marais et de la nouvelle Canopée des Halles, nous vous proposons dans un immeuble...",28.3,3.0,1300.0,11519.434628975265
54,1,450000,2017-12-15 00:00:00,36,1.0,0.0,http://www.explorimmo.com/annonce-13764821.html,"Engel and Völkers vous propose un grand confortable studio situé au c?ur du centre historique, en face de la Seine, dans un immeuble...",36.0,4.0,1150.0,12500.0
55,1,419000,2017-12-13 00:00:00,"26,8",2.0,1.0,http://www.explorimmo.com/annonce-13620835.html,"PARIS IV RUE DES ROSIERS 2 PiècesDans un immeuble classé monument historique, typique du Marais, un appartement traversant composé...",26.8,3.0,1490.0,15634.328358208955
56,1,1750000,2017-12-12 00:00:00,123,5.0,3.0,http://www.explorimmo.com/annonce-14125221.html,Janson de Sailly / Vue Tour Eiffel. Immeuble récent de standing au 7ème étage ascenseur. Appartement de 5 pièces comprenant: réception...,123.0,7.0,3510.0,14227.642276422765
58,1,715000,2017-12-08 00:00:00,48,2.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/14465347/,"Idéalement situé, à proximité de la place du marché Saint-Honoré, appartement de 48 m² au premier étage d'un immeuble ancien avec ascenseur...",48.0,1.0,1731.0,14895.833333333334
59,1,930000,2017-12-08 00:00:00,81,3.0,2.0,http://www.explorimmo.com/annonce-13620841.html,"PARIS 1st PLACE DAUPHINE In an 17th century property with lift , offering an exceptional view overlooking Place Dauphine this apartment...",81.0,7.0,2500.0,11481.481481481482
60,1,461120,2017-12-08 00:00:00,"41,09",2.0,1.0,http://www.explorimmo.com/annonce-14146365.html,"CHATELET : à quelques pas de la Place Ste Opportune, dans un immeuble ancien, au 4e étage sur rue, un appartement 2 pièces comprenant...",41.09,4.0,1775.0,11222.19518130932
61,1,682500,2017-12-07 00:00:00,50,3.0,2.0,http://www.explorimmo.com/annonce-14456565.html,"VENTE: Bel appartement situé au 2ème étage SANS ASCENSEUR d'un immeuble d'époque sécurisé (digicode) rue du Bouloi, au coeur du 1er...",50.0,2.0,2000.0,13650.0
62,1,243800,2017-12-06 00:00:00,"18,46",1.0,0.0,http://www.explorimmo.com/annonce-13714139.html,"Paris 1er - RUE DE L'ARBRE SEC - Très belle localisation à proximité immédiate de la rue Saint Honoré et de ses boutiques de luxe,...",18.46,2.0,1100.0,13206.933911159264
